n,tempo_ms
7470010,0.002794
7480010,0.002375
7490010,0.001886
7500010,0.003353
7510010,0.002864
7520010,0.002375
7530010,0.001955
7540010,0.002375
7550010,0.002934
7560010,0.002375
7570010,0.003353
7580010,0.002794
7590010,0.003282
7600010,0.002375
7610010,0.002933
7620010,0.001886
7630010,0.002864
7640010,0.004260
7650010,0.002375
7660010,0.003352
7670010,0.002933
7680010,0.002864
7690010,0.002374
7700010,0.002864
7710010,0.002863
7720010,0.002863
7730010,0.002863
7740010,0.002934
7750010,0.002934
7760010,0.001886
7770010,0.002863
7780010,0.002863
7790010,0.004749
7800010,0.002864
7810010,0.002933
7820010,0.002863
7830010,0.002793
7840010,0.002863
7850010,0.003282
7860010,0.002794
7870010,0.002444
7880010,0.002793
7890010,0.001885
7900010,0.002864
7910010,0.003282
7920010,0.005168
7930010,0.003772
7940010,0.003842
7950010,0.003352
7960010,0.002794
7970010,0.002933
7980010,0.002374
7990010,0.002863
8000010,0.004190
8010010,0.003353
8020010,0.002864
8030010,0.002863
8040010,0.004750
8050010,0.002934
8060010,0.002374
8070010,0.003352
8080010,0.002863
8090010,0.002864
8100010,0.002375
8110010,0.002864
8120010,0.003842
8130010,0.002864
8140010,0.002864
8150010,0.003283
8160010,0.002793
8170010,0.002864
8180010,0.003283
8190010,0.003353
8200010,0.002864
8210010,0.001885
8220010,0.005727
8230010,0.003282
8240010,0.002933
8250010,0.002934
8260010,0.002864
8270010,0.004679
8280010,0.003352
8290010,0.003353
8300010,0.003911
8310010,0.003702
8320010,0.002864
8330010,0.002933
8340010,0.003283
8350010,0.003771
8360010,0.002863
8370010,0.003842
8380010,0.002864
8390010,0.002444
8400010,0.003283
8410010,0.003353
8420010,0.003352
8430010,0.003771
8440010,0.002863
8450010,0.003772
8460010,0.002863
8470010,0.003352
8480010,0.002724
8490010,0.001955
8500010,0.004260
8510010,0.002375
8520010,0.002863
8530010,0.001956
8540010,0.002863
8550010,0.003283
8560010,0.003911
8570010,0.002723
8580010,0.002864
8590010,0.005797
8600010,0.002374
8610010,0.003771
8620010,0.003841
8630010,0.004749
8640010,0.004679
8650010,0.003282
8660010,0.002863
8670010,0.007613
8680010,0.002374
8690010,0.002445
8700010,0.003841
8710010,0.002794
8720010,0.004679
8730010,0.002863
8740010,0.003422
8750010,0.003772
8760010,0.002863
8770010,0.002864
8780010,0.003282
8790010,0.003772
8800010,0.003771
8810010,0.002933
8820010,0.002304
8830010,0.003352
8840010,0.002794
8850010,0.002305
8860010,0.002794
8870010,0.003771
8880010,0.003353
8890010,0.002304
8900010,0.002933
8910010,0.002864
8920010,0.004680
8930010,0.003352
8940010,0.003212
8950010,0.003771
8960010,0.002934
8970010,0.003771
8980010,0.004190
8990010,0.005308
9000010,0.004680
9010010,0.003841
9020010,0.007124
9030010,0.002863
9040010,0.003283
9050010,0.003771
9060010,0.004749
9070010,0.003282
9080010,0.003842
9090010,0.003772
9100010,0.005168
9110010,0.005657
9120010,0.002863
9130010,0.002444
9140010,0.002864
9150010,0.005727
9160010,0.005867
9170010,0.002374
9180010,0.005727
9190010,0.002863
9200010,0.005587
9210010,0.001397
9220010,0.002933
9230010,0.002864
9240010,0.003353
9250010,0.003352
9260010,0.003911
9270010,0.002933
9280010,0.003771
9290010,0.003353
9300010,0.001956
9310010,0.002933
9320010,0.001816
9330010,0.002375
9340010,0.002933
9350010,0.003352
9360010,0.002864
9370010,0.003423
9380010,0.002374
9390010,0.003841
9400010,0.004400
9410010,0.004261
9420010,0.004330
9430010,0.005727
9440010,0.003283
9450010,0.004261
9460010,0.006146
9470010,0.002864
9480010,0.004679
9490010,0.005727
9500010,0.006705
9510010,0.005308
9520010,0.005098
9530010,0.002794
9540010,0.002863
9550010,0.002934
9560010,0.003771
9570010,0.002794
9580010,0.004260
9590010,0.003352
9600010,0.002863
9610010,0.002375
9620010,0.002934
9630010,0.002445
9640010,0.002375
9650010,0.003422
9660010,0.004330
9670010,0.005238
9680010,0.002375
9690010,0.002864
9700010,0.002794
9710010,0.001956
9720010,0.003353
9730010,0.002934
9740010,0.003841
9750010,0.004750
9760010,0.002375
9770010,0.002933
9780010,0.003283
9790010,0.003283
9800010,0.002934
9810010,0.002444
9820010,0.002933
9830010,0.002864
9840010,0.002375
9850010,0.002374
9860010,0.003282
9870010,0.003213
9880010,0.002934
9890010,0.003282
9900010,0.003283
9910010,0.002933
9920010,0.003842
9930010,0.003282
9940010,0.002864
9950010,0.002864
9960010,0.003282
9970010,0.002375
9980010,0.001886
9990010,0.002863
